timestamp,open,high,low,close,volume
2020-01-01 00:00:00,7200.12,7250.78,7180.50,7225.36,200
2020-01-01 01:00:00,7225.36,7235.12,7188.21,7195.92,180
2020-01-01 02:00:00,7195.92,7210.35,7183.24,7205.45,150
2020-01-01 03:00:00,7205.45,7240.10,7193.17,7220.80,220
2020-01-01 04:00:00,7220.80,7235.78,7205.19,7229.95,160
2020-01-01 05:00:00,7229.95,7248.11,7215.60,7240.15,140
2020-01-01 06:00:00,7240.15,7250.42,7220.01,7223.40,180
2020-01-01 07:00:00,7223.40,7245.80,7218.62,7235.79,200
2020-01-01 08:00:00,7235.79,7250.11,7222.68,7238.92,170
2020-01-01 09:00:00,7238.92,7250.01,7218.75,7232.50,190
